物件名,住所,最寄り駅,賃料,間取り,面積
都営大江戸線 勝どき駅 地下3地上50階建 築15年,東京都中央区勝どき１,['都営大江戸線/勝どき駅 歩1分\n東京メトロ有楽町線/月島駅 歩9分\n東京メトロ日比谷線/築地駅 歩13分'],25万円,,
パークホームズ日本橋浜町二丁目リビオガーデン,東京都中央区日本橋浜町２,['都営浅草線/人形町駅 歩7分\n東京メトロ日比谷線/人形町駅 歩6分\n東京メトロ半蔵門線/水天宮前駅 歩6分'],19.2万円,,
コンフォリア日本橋人形町,東京都中央区日本橋人形町３,['東京メトロ日比谷線/人形町駅 歩2分\n東京メトロ半蔵門線/水天宮前 歩6分\n都営新宿線/馬喰横山駅 歩8分'],20.7万円,,
東京メトロ丸ノ内線 御茶ノ水駅 14階建 築7年,東京都千代田区神田駿河台２,['東京メトロ丸ノ内線/御茶ノ水駅 歩7分\n都営三田線/水道橋駅 歩8分\n東京メトロ半蔵門線/神保町駅 歩11分'],16.9万円,,
プライムブリス日本橋馬喰町,東京都中央区日本橋馬喰町１,['ＪＲ総武線快速/馬喰町駅 歩2分\n都営新宿線/馬喰横山駅 歩4分\n都営浅草線/東日本橋駅 歩5分'],14.5万円,,
ＪＲ総武線快速 馬喰町駅 10階建 新築,東京都中央区日本橋馬喰町１,['ＪＲ総武線快速/馬喰町駅 歩2分\nＪＲ総武線/浅草橋駅 歩10分\n都営浅草線/東日本橋駅 歩5分'],14.5万円,,
都営大江戸線 勝どき駅 12階建 築12年,東京都中央区勝どき４,['都営大江戸線/勝どき駅 歩2分\n東京メトロ有楽町線/月島駅 歩14分\n都営大江戸線/築地市場駅 歩20分'],23万円,,
コスモグラン勝どき,東京都中央区勝どき４,['都営大江戸線/勝どき駅 歩2分\n東京メトロ有楽町線/月島駅 歩10分\n東京メトロ日比谷線/築地駅 歩12分'],23万円,,
アイガーデン月島,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩2分\nＪＲ京葉線/越中島駅 歩10分\n都営大江戸線/勝どき駅 歩14分'],17.9万円,,
東京メトロ半蔵門線 水天宮前駅 10階建 築6年,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩6分\n東京メトロ東西線/茅場町駅 歩9分\n東京メトロ日比谷線/人形町駅 歩13分'],27.8万円,,
アーバネックス神保町,東京都千代田区神田神保町１,['都営三田線/神保町駅 歩5分\nＪＲ総武線/御茶ノ水駅 歩11分\n東京メトロ東西線/九段下駅 歩8分'],11.4万円,,
都営新宿線 神保町駅 12階建 築29年,東京都千代田区神田猿楽町１,['都営新宿線/神保町駅 歩5分\nＪＲ中央線/御茶ノ水駅 歩9分\nＪＲ中央線/水道橋駅 歩10分'],23.8万円,,
フェリーチェお茶の水,東京都千代田区神田猿楽町１,['都営新宿線/神保町駅 歩5分\nＪＲ中央線/御茶ノ水駅 歩9分\nＪＲ中央線/水道橋駅 歩10分'],23.8万円,,
都営大江戸線 勝どき駅 58階建 築18年,東京都中央区勝どき６,['都営大江戸線/勝どき駅 歩8分\n都営大江戸線/築地市場駅 歩19分\n新交通ゆりかもめ/竹芝駅 歩35分'],19.9万円,,
パークキューブ茅場町,東京都中央区日本橋茅場町３,['東京メトロ東西線/茅場町駅 歩6分\nＪＲ京葉線/八丁堀駅 歩7分\n都営浅草線/宝町駅 歩11分'],26万円,,
こはす,東京都千代田区神田東松下町,['ＪＲ山手線/神田駅 歩4分\n東京メトロ銀座線/神田駅 歩5分\n都営新宿線/岩本町駅 歩3分'],17万円,,
アスコットパーク日本橋ミュゲット,東京都中央区東日本橋２,['ＪＲ総武線快速/馬喰町駅 歩7分\n都営新宿線/浜町駅 歩9分\nＪＲ総武線/浅草橋駅 歩9分'],25.5万円,,
都営浅草線 東日本橋駅 11階建 築20年,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩3分\nＪＲ総武線/浅草橋駅 歩8分\n都営新宿線/浜町駅 歩8分'],25.5万円,,
東京メトロ日比谷線 小伝馬町駅 12階建 新築,東京都中央区日本橋大伝馬町,['東京メトロ日比谷線/小伝馬町駅 歩3分\n東京メトロ日比谷線/人形町駅 歩7分\n都営新宿線/馬喰横山駅 歩4分'],15.9万円,,
カスタリア茅場町,東京都中央区日本橋小網町,['東京メトロ東西線/茅場町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n都営浅草線/人形町駅 歩11分'],18.7万円,,
東京メトロ東西線 茅場町駅 12階建 築20年,東京都中央区日本橋小網町,['東京メトロ東西線/茅場町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n都営浅草線/人形町駅 歩10分'],18.7万円,,
都営新宿線 浜町駅 10階建 築13年,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩4分\n東京メトロ半蔵門線/水天宮前駅 歩9分\n東京メトロ日比谷線/人形町駅 歩10分'],17.6万円,,
HOUSE277,東京都中央区日本橋浜町２,['都営浅草線/人形町駅 歩4分\n東京メトロ半蔵門線/水天宮前駅 歩6分\n都営新宿線/浜町駅 歩4分'],16.3万円,,
都営新宿線 市ケ谷駅 10階建 築10年,東京都千代田区九段北４,['都営新宿線/市ケ谷駅 歩3分\n東京メトロ半蔵門線/半蔵門駅 歩11分\n東京メトロ有楽町線/麹町駅 歩12分'],49万円,,
ブランズ九段北,東京都千代田区九段北４,['都営新宿線/市ケ谷駅 歩3分\n東京メトロ半蔵門線/半蔵門駅 歩11分\n東京メトロ有楽町線/麹町駅 歩12分'],49万円,,
都営新宿線 馬喰横山駅 14階建 新築,東京都中央区日本橋馬喰町１,['都営新宿線/馬喰横山駅 歩2分\nＪＲ総武線/浅草橋駅 歩7分\n東京メトロ日比谷線/小伝馬町駅 歩6分'],19.7万円,,
二番町パークフォレスト,東京都千代田区二番町,['東京メトロ有楽町線/麹町駅 歩3分\n東京メトロ丸ノ内線/四ツ谷駅 歩4分\n東京メトロ半蔵門線/半蔵門駅 歩10分'],80万円,,
フレンシア築地,東京都中央区築地６,['東京メトロ日比谷線/築地駅 歩5分\n東京メトロ有楽町線/新富町駅 歩9分\n都営大江戸線/勝どき駅 歩10分'],32万円,,
サングランパ,東京都中央区月島３,['東京メトロ有楽町線/月島駅 歩5分\n都営大江戸線/勝どき駅 歩9分\n東京メトロ日比谷線/築地駅 歩20分'],18万円,,
ローレルアイ千代田淡路町,東京都千代田区神田小川町１,['東京メトロ丸ノ内線/淡路町駅 歩2分\nＪＲ山手線/秋葉原駅 歩10分\nＪＲ山手線/神田駅 歩7分'],19万円,,
都営新宿線 浜町駅 地下1地上10階建 築26年,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩3分\n東京メトロ日比谷線/人形町駅 歩6分\n東京メトロ半蔵門線/水天宮前駅 歩7分'],21万円,,
リヴィェ日本橋,東京都中央区日本橋浜町１,['都営新宿線/浜町駅 歩4分\n都営浅草線/東日本橋駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩8分'],17万円,,
日本橋浜町パーク・ホームズ,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩4分\n東京メトロ半蔵門線/水天宮前駅 歩8分\n都営浅草線/人形町駅 歩8分'],29.3万円,,
都営新宿線 浜町駅 14階建 築27年,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩4分\n都営浅草線/人形町駅 歩8分\n都営新宿線/馬喰横山駅 歩11分'],29.3万円,,
東京メトロ有楽町線 月島駅 地下1地上19階建 築36年,東京都中央区佃２,['東京メトロ有楽町線/月島駅 歩8分\nＪＲ京葉線/越中島駅 歩14分\nＪＲ京葉線/八丁堀駅 歩14分'],15.9万円,,
オーパスレジデンス銀座イースト,東京都中央区築地７,['東京メトロ日比谷線/築地駅 歩6分\n東京メトロ有楽町線/新富町駅 歩8分\n都営大江戸線/勝どき駅 歩12分'],24万円,,
レジディア神田,東京都千代田区神田多町２,['ＪＲ山手線/神田駅 歩3分\n東京メトロ丸ノ内線/淡路町駅 歩4分\n東京メトロ千代田線/新御茶ノ水駅 歩10分'],16.6万円,,
ＪＲ総武線 浅草橋駅 地下1地上12階建 築6年,東京都中央区日本橋馬喰町２,['ＪＲ総武線/浅草橋駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩5分\n都営新宿線/岩本町駅 歩8分'],17.9万円,,
都営大江戸線 勝どき駅 3階建 築3年,東京都中央区勝どき２,['都営大江戸線/勝どき駅 歩4分\n東京メトロ有楽町線/月島駅 歩9分\n東京メトロ日比谷線/築地駅 歩17分'],16万円,,
ＡＬＴＥＲＮＡ日本橋,東京都中央区日本橋富沢町,['東京メトロ日比谷線/人形町駅 歩3分\n都営新宿線/馬喰横山駅 歩6分\n東京メトロ日比谷線/小伝馬町駅 歩7分'],34.5万円,,
東京メトロ日比谷線 人形町駅 地下1地上12階建 築3年,東京都中央区日本橋富沢町,['東京メトロ日比谷線/人形町駅 歩5分\n都営新宿線/浜町駅 歩9分\nＪＲ総武線快速/馬喰町駅 歩10分'],34.5万円,,
PARK LUXE神田　【パークリュクス神田】,東京都千代田区神田多町２,['ＪＲ山手線/神田駅 歩5分\nＪＲ山手線/秋葉原駅 歩10分\n東京メトロ丸ノ内線/大手町駅 歩10分'],14万円,,
ＪＲ総武線 秋葉原駅 11階建 築3年,東京都千代田区東神田３,['ＪＲ総武線/秋葉原駅 歩10分\n都営浅草線/浅草橋駅 歩6分\n都営新宿線/岩本町駅 歩8分'],12.1万円,,
NANAEI 日本橋,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩4分\n東京メトロ日比谷線/茅場町駅 歩5分\nＪＲ京葉線/八丁堀駅 歩14分'],14.5万円,,
東京メトロ半蔵門線 水天宮前駅 10階建 築7年,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩4分\n東京メトロ東西線/茅場町駅 歩5分\n東京メトロ日比谷線/人形町駅 歩14分'],14.5万円,,
Ｂｒｉｌｌｉａ月島四丁目,東京都中央区月島４,['東京メトロ有楽町線/月島駅 歩3分\n都営大江戸線/月島駅 歩3分\n都営大江戸線/勝どき駅 歩7分'],20万円,,
ベルファース八丁堀West,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩4分\nＪＲ京葉線/八丁堀駅 歩4分\n都営浅草線/宝町駅 歩4分'],14.7万円,,
東京メトロ日比谷線 八丁堀駅 12階建 新築,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩4分\n都営浅草線/宝町駅 歩4分\n東京メトロ日比谷線/茅場町駅 歩8分'],14.7万円,,
ベルファース八丁堀ウエスト,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩4分\nＪＲ山手線/東京駅 歩12分\n都営浅草線/宝町駅 歩4分'],14.7万円,,
ＪＲ総武線 浅草橋駅 10階建 築16年,東京都中央区東日本橋２,['ＪＲ総武線/浅草橋駅 歩7分\n都営浅草線/東日本橋駅 歩4分\n都営新宿線/馬喰横山駅 歩6分'],10.3万円,,
アーデン神保町,東京都千代田区神田小川町３,['東京メトロ半蔵門線/神保町駅 歩3分\n東京メトロ丸ノ内線/淡路町駅 歩8分\n東京メトロ千代田線/新御茶ノ水駅 歩6分'],20万円,,
ベルファース八丁堀ウエスト,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩4分\nＪＲ山手線/東京駅 歩12分\n都営浅草線/宝町駅 歩4分'],14.7万円,,
ＪＲ総武線 浅草橋駅 10階建 築16年,東京都中央区東日本橋２,['ＪＲ総武線/浅草橋駅 歩7分\n都営浅草線/東日本橋駅 歩4分\n都営新宿線/馬喰横山駅 歩6分'],10.3万円,,
東京メトロ日比谷線 茅場町駅 地下1地上13階建 築21年,東京都中央区日本橋小網町,['東京メトロ日比谷線/茅場町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n都営浅草線/人形町駅 歩9分'],13.2万円,,
クロスレジデンス日本橋本町,東京都中央区日本橋本町４,['東京メトロ日比谷線/小伝馬町駅 歩4分\nＪＲ総武線快速/新日本橋駅 歩3分\n東京メトロ銀座線/三越前駅 歩7分'],14.5万円,,
ＧＲＡＮＳＩＴＥ千代田富士見,東京都千代田区富士見２,['東京メトロ東西線/飯田橋駅 歩5分\n東京メトロ東西線/九段下駅 歩10分\n都営大江戸線/牛込神楽坂駅 歩15分'],18万円,,
都営浅草線 東日本橋駅 13階建 築4年,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩4分\n都営新宿線/馬喰横山駅 歩5分'],10.85万円,,
ラサンテ一番町,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩4分\n東京メトロ有楽町線/麹町駅 歩9分\nＪＲ中央線/市ケ谷駅 歩11分'],52万円,,
東京メトロ半蔵門線 半蔵門駅 地下1地上14階建 築18年,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩2分\n東京メトロ有楽町線/麹町駅 歩8分\nＪＲ中央線/市ケ谷駅 歩9分'],52万円,,
東京メトロ日比谷線 人形町駅 10階建 築17年,東京都中央区日本橋人形町３,['東京メトロ日比谷線/人形町駅 歩3分\n都営浅草線/人形町駅 歩3分\n東京メトロ半蔵門線/水天宮前駅 歩8分'],20.7万円,,
パークタワー秋葉原,東京都千代田区神田練塀町,['ＪＲ山手線/秋葉原駅 歩4分\n東京メトロ銀座線/末広町駅 歩6分\n東京メトロ日比谷線/仲御徒町駅 歩9分'],17.4万円,,
東京メトロ東西線 茅場町駅 12階建 築15年,東京都中央区日本橋小網町,['東京メトロ東西線/茅場町駅 歩4分\n東京メトロ日比谷線/人形町駅 歩8分\n東京メトロ半蔵門線/水天宮前駅 歩6分'],20万円,,
アトラス千代田末広町,東京都千代田区外神田６,['東京メトロ銀座線/末広町駅 歩1分\n東京メトロ千代田線/湯島駅 歩3分\nＪＲ山手線/御徒町駅 歩8分'],25万円,,
ミレニアムガーデンコート,東京都千代田区二番町,['東京メトロ有楽町線/麹町駅 歩4分\n東京メトロ丸ノ内線/四ツ谷駅 歩6分\n東京メトロ半蔵門線/半蔵門駅 歩8分'],39.5万円,,
ＨＯＵＳＥ岩本町,東京都千代田区岩本町１,['ＪＲ総武線快速/馬喰町駅 歩4分\n都営新宿線/馬喰横山駅 歩6分\n東京メトロ日比谷線/小伝馬町駅 歩5分'],20.3万円,,
ＪＲ総武線快速 馬喰町駅 16階建 築17年,東京都千代田区岩本町１,['ＪＲ総武線快速/馬喰町駅 歩4分\n都営新宿線/馬喰横山駅 歩6分\n東京メトロ日比谷線/小伝馬町駅 歩5分'],20.3万円,,
東京メトロ銀座線 神田駅 12階建 築2年,東京都千代田区内神田２,['東京メトロ銀座線/神田駅 歩2分\n東京メトロ丸ノ内線/淡路町駅 歩7分\n都営新宿線/小川町駅 歩10分'],20万円,,
アビタシオン創,東京都千代田区内神田２,['ＪＲ山手線/神田駅 歩4分\n東京メトロ丸ノ内線/大手町駅 歩7分\n都営新宿線/小川町駅 歩7分'],20万円,,
パークハビオ八丁堀,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩4分\n都営浅草線/宝町駅 歩4分\n東京メトロ東西線/茅場町駅 歩9分'],19万円,,
ＪＲ山手線 新橋駅 地下1地上13階建 築13年,東京都中央区銀座８,['ＪＲ山手線/新橋駅 歩8分\n都営大江戸線/築地市場駅 歩2分\n東京メトロ日比谷線/東銀座駅 歩6分'],31万円,,
東京メトロ千代田線 新御茶ノ水駅 12階建 築5年,東京都千代田区神田錦町３,['東京メトロ千代田線/新御茶ノ水駅 歩6分\n東京メトロ半蔵門線/神保町駅 歩4分\n東京メトロ東西線/竹橋駅 歩10分'],22万円,,
プライムアーバン日本橋大伝馬町,東京都中央区日本橋大伝馬町,['東京メトロ日比谷線/小伝馬町駅 歩3分\nＪＲ総武線快速/新日本橋駅 歩3分\n東京メトロ銀座線/三越前駅 歩6分'],32.5万円,,
ブリックコート神田錦町,東京都千代田区神田錦町３,['東京メトロ半蔵門線/神保町駅 歩3分\n東京メトロ千代田線/新御茶ノ水駅 歩5分\n都営新宿線/小川町駅 歩6分'],22万円,,
